BUXAR|Istilikdən yaranan maye.
AXŞAMÜSTÜ|Axşah saat 21:00.
SƏMA|Asiman.
ERETOSFEN|İlk dədə elmə coğrafiya anlaylışını gətirmiş filosof və riyaziyyatçı.
QAYÇI|Leonardo da vinçi ixtira edib.
VATİKAN|Sahəsinə görə dünyada ən kiçik ölkə.
BAKCELL|Azərbaycan da ilk mobil operator.
XURUŞ|Xırda.
AVTOBUS|Nəqliyyat növü.
MAVİBALİNA|Dünyada ən böyük və ən ağır canlı.
QIZIL|Metal.
TİLOV|Balıq tutmaq üçün istifadə olunan qurğu.
KƏŞMİR|Pakistan və hindistan arasında münaqişəyə səbəb olan ərazi
SAP|AAAA
TURAN|Tovuz rayonunun futbol komandası.
TƏZYİQ|Barometr nəyi ölçür.
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA
AAAA|AAAA